period_label,fixed_restaurant_merchant_count,month_count,avg_active_restaurant_merchant_count_rolling30,avg_rolling30_trade_count,avg_rolling30_trade_money_fen,avg_rolling30_trade_money_yuan,avg_rolling30_trade_count_per_fixed_restaurant_merchant,avg_rolling30_trade_money_yuan_per_fixed_restaurant_merchant
baseline_2024_04_to_2025_03_restaurant_only_month_end_rolling30,1068,12,509.92,10937.17,291511136.67,2915111.37,10.24,2729.51
activity_2025_04_to_2026_04_restaurant_only_month_end_rolling30,1068,13,785.54,18724.15,449784260.62,4497842.61,17.53,4211.46
